Effect,Count
intron_variant,106505
downstream_gene_variant,33826
upstream_gene_variant,32260
intergenic_region,6261
non_coding_transcript_exon_variant,4597
3_prime_UTR_variant,2079
missense_variant,1476
synonymous_variant,1058
5_prime_UTR_variant,479
splice_region_variant&intron_variant,236
5_prime_UTR_premature_start_codon_gain_variant,109
splice_region_variant&non_coding_transcript_exon_variant,93
missense_variant&splice_region_variant,41
stop_gained,30
splice_region_variant&synonymous_variant,25
splice_donor_variant&intron_variant,25
splice_region_variant,18
frameshift_variant,17
conservative_inframe_insertion,10
conservative_inframe_deletion,7
splice_acceptor_variant&intron_variant,5
stop_lost,5
start_lost,4
disruptive_inframe_deletion,2
splice_acceptor_variant&splice_region_variant&5_prime_UTR_variant&intron_variant,1
splice_acceptor_variant&splice_region_variant&intron_variant&non_coding_transcript_exon_variant,1
non_coding_transcript_variant,1
