GENE,Variant_Count
MRTFA,489
DEPDC5,481
ADA2,481
SFI1,440
OSBP2,230
DUSP18,226
PHF21B,220
POTEH,180
WBP2NL,154
TNRC6B,153
TPST2,133
RPL23AP82,127
CYB5R3,112
SEPTIN3,110
AL080243.2,108
GNB1L,104
LINC01422,90
SPECC1L,90
Z83838.1,88
NF2,84
BID,84
MEI1,74
MCHR1,73
SLC35E4,66
DDX17,65
AP000529.1,60
HORMAD2-AS1,60
TTLL1,60
GRAP2,60
GAPDHP37,59
IL17RA,56
RPL4P6,55
RPL3,54
AP000357.1,53
AP000357.2,53
ARL5AP4,53
RPL7P52,51
Z99714.1,46
AL117329.1,45
TUBA8,44
SLC25A5P1,44
HORMAD2,44
CLTCL1,44
CT867976.1-AC138776.1,41
RBFOX2,41
SAMM50,39
SSTR3,38
AL096701.1,37
CHR_START-AC145613.1,37
AC005300.1,37
RPL5P34,36
AC003072.1,33
PEX26,32
HMGN2P10,30
Z97353.1,30
AL080243.1-AL080243.2,30
AC137488.1,28
AC137488.1-CT867976.1,28
CECR2,28
RPL35P8,27
AC000089.1,26
NDUFA6-DT,24
AP000357.1-AP000357.2,24
EIF4HP2,23
MOV10L1,21
RPS15AP38,21
DGCR2,21
AL022237.1,20
CNN2P1,20
HMGB1P10,19
AL080243.4,19
AL080243.1,19
Z82188.1,19
PNPLA3,18
DRG1,18
AL035398.1,18
AC003071.1,16
ATP5MGL,16
SLC5A1,15
SPECC1L-ADORA2A,15
AP000354.1,15
LINC02558,15
DMC1,15
POM121L9P,15
BCL2L13,15
Z74021.1,15
RABL2B,14
AC006946.1,14
BCR,14
RNF185,14
IGLV10-54,14
AL022331.1,13
Z82190.2,13
APOL1,12
LIMK2,12
AC000081.1,11
Z82206.1,10
PIWIL3,10
LINC01399,10
PES1,9
H2AZP6,9
MLC1,9
AC008079.1,9
AC016027.1,9
EIF3L,8
MYH9,8
IGLV3-21,8
PIK3IP1,8
SYN3,8
IGLVI-20,8
LINC02556,7
AC007666.2,7
RPL5P35,7
DNAJA1P6,7
IGLVIV-53,7
AP000343.1,7
SSTR3-Z82188.1,7
COX6B1P3,7
CELSR1,6
FAM227A,6
KDELR3,6
AP000523.1,6
NBEAP3,6
NDUFA9P1,6
MIR3198-1,6
RPEP4,6
CRIP1P4,5
IGLV3-10,5
PABPC1P9,5
RPL5P34-GOLGA2P4,5
AP000529.1-PSLNR,5
SLC9B1P4,5
AC245028.1,5
IGKV1OR22-5,5
AL096701.2,5
UQCRFS1P1,4
RN7SKP210,4
OLA1P1,4
ENTHD1,4
CCT8L2,3
FABP5P11,3
AC003071.2,3
AC004461.2,3
AC004461.3,3
AC016027.5,3
AC245054.1,3
AC245054.2,3
SNORD83B,3
SNORD83A,3
AL031597.1,3
AL080243.3-AL080243.4,3
MLC1-MOV10L1,3
SNORD43,3
Z99714.1-ASPHD2,3
RPS29P31,3
EFCAB6,3
APOBEC3D,3
AP000547.4,3
RTL6-KRT18P23,3
FAM230I,2
DMC1-RPS29P31,2
IGLV3-24,2
AC005005.1,2
IGLVVI-22-1,2
IGLV2-23,2
IL2RB,2
AC244250.1,2
FAM230I-AP000345.3,2
MIR3928,2
APOBEC3C,2
BCR-AP000343.1,2
MIR6819,2
AL022311.1,1
IGKV1OR22-1,1
AP000534.2,1
AP000534.1,1
Z74021.1-SLC5A1,1
PABPC1P9-SLC9B1P4,1
AL022318.4,1
APOL2-APOL1,1
AP000533.2,1
AC002056.1,1
MRTFA-GAPDHP37,1
